"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "YAML", "comment", "blank", "total"
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.VSCodeCounter/2023-01-30_14-37-15/details.md", "Markdown", 0, 25, 0, 0, 0, 0, 6, 31
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.VSCodeCounter/2023-01-30_14-37-15/diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 6, 15
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.VSCodeCounter/2023-01-30_14-37-15/diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 7, 19
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.VSCodeCounter/2023-01-30_14-37-15/results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.VSCodeCounter/2023-01-30_14-37-15/results.md", "Markdown", 0, 24, 0, 0, 0, 0, 7, 31
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.eslintrc.json", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 11
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.gitlab-ci.yml", "YAML", 0, 0, 0, 0, 9, 0, 3, 12
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.yarn/plugins/@yarnpkg/plugin-version.cjs", "JavaScript", 0, 0, 370, 0, 0, 124, 57, 551
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.yarn/releases/yarn-berry.cjs", "JavaScript", 0, 0, 543, 0, 0, 221, 44, 808
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.yarn/versions/40fb256c.yml", "YAML", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.yarn/versions/5a410686.yml", "YAML", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/.yarnrc.yml", "YAML", 0, 0, 0, 0, 4, 0, 2, 6
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/date.js", "JavaScript", 0, 0, 48, 0, 0, 23, 18, 89
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/dtISO.js", "JavaScript", 0, 0, 42, 0, 0, 27, 26, 95
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/env.js", "JavaScript", 0, 0, 28, 0, 0, 6, 9, 43
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/index.js", "JavaScript", 0, 0, 30, 0, 0, 15, 15, 60
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/mail.js", "JavaScript", 0, 0, 23, 0, 0, 4, 3, 30
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/marketState.js", "JavaScript", 0, 0, 131, 0, 0, 52, 56, 239
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/package.json", "JSON", 0, 0, 0, 26, 0, 0, 1, 27
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/test/date.test.js", "JavaScript", 0, 0, 33, 0, 0, 0, 11, 44
"/Users/luketych/Dev/_Projects/_ktr/_srt/workspace/packages/util/timezone.js", "JavaScript", 0, 0, 48, 0, 0, 24, 30, 102
"Total", "-", 11, 70, 1296, 27, 13, 496, 303, 2216
